# Comments starts with '#' and the line will be ignored when reading,,,,,
# Command, start with pipe '|',,,,
# Empty lines will be ignored when reading,,,,,
# CSV format for data plot,,,,,
# Double quote is not allowed, use single quote instead
#  Type of plot,,,,,
| type=trace
# Plot data specification
| x = time
| y = voltage
| xunit = ms
| yunit = mV
# Data Table: No meta parameters should be defined beyond data table,,,,,
time,voltage,current
86.1,-53.8516,-3.4376
86.2,-54.1954,-1.8751
86.3,-54.5204,-2.8126
86.4,-54.8454,-2.8126
86.5,-55.1142,-2.1876
86.6,-55.3767,-2.1876
86.7,-55.6454,-1.8751
86.8,-55.9017,1.25
86.9,-56.1455,0
87,-56.3767,-1.25
87.1,-56.608,0.62502
87.2,-56.8455,0.62502
87.3,-57.058,1.25
87.4,-57.258,0
87.5,-57.4455,-2.1876
87.6,-57.608,0
87.7,-57.7955,0.62502
87.8,-57.9768,0.62502
87.9,-58.133,0.62502
88,-58.3018,0.62502
88.1,-58.458,0.31251
88.2,-58.633,1.25
88.3,-58.7518,0
88.4,-58.9018,1.5625
88.5,-59.0456,1.5625
88.6,-59.1768,0
88.7,-59.3018,0.62502
88.8,-59.4331,0.93753
88.9,-59.5518,2.1876
89,-59.6643,0.93753
89.1,-59.7768,0.93753
89.2,-59.8893,2.1876
89.3,-60.0268,1.5625
89.4,-60.1393,2.5001
